"","Household span","n","n_se"
"1","Hispanic or Latinx",16485296.1314038,208486.134021012
"2","Not Hispanic or Latinx",105074588.576449,410806.445170459
"3","(Missing)",15843575.2921197,190123.686815371
"4","HH Hispanic or Latinx",16495579.6599874,208454.769739378
"5","HH Not Hispanic or Latinx",105064305.047865,410855.576892321
"6","(Missing)",15843575.2921197,190123.686815371
