"","Household span","n","n_se"
"1","Hispanic or Latinx",16485296.1314038,208486.134020953
"2","Not Hispanic or Latinx",105074588.576449,410806.445170436
"3","HH Hispanic or Latinx",16495579.6599874,208454.769739364
"4","HH Not Hispanic or Latinx",105064305.047865,410855.576892237
